COD: 1; PRODUTO: COCA COLA                                                     
COD: 2; PRODUTO: COCA COLA                                                     
COD: 3; PRODUTO: COCA COLA                                                     
COD: 4; PRODUTO: COCA COLA                                                     
COD: 5; PRODUTO: COCA COLA                                                     
COD: 6; PRODUTO: COCA COLA                                                     
COD: 7; PRODUTO: COCA COLA                                                     
COD: 8; PRODUTO: BATATA FRITA                                                  
COD: 9; PRODUTO: BATATA FRITA                                                  
COD: 10; PRODUTO: BATATA FRITA                                                 
COD: 11; PRODUTO: BATATA FRITA                                                 
